Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status,Length of Stay (Days),Booking Window (Days),Reservation ID,Listing ID,Unit ID,PMS,BR Count,City,Sync Price,Año,Mes_num,Mes,tipo_estadia,prev_booked,days_since_last,flag_last_minute,flag_orphan,flag_recency,flag_discount,ADR_ideal,Revenue_ideal,Revenue_perdido,Temporada,tipo
Casa VIP Medellín 2 - Private Room,2023-05-28,2023-06-28,2023-05-05,13.44,416.5,426.5,USD,Airbnb,Booked,31,23,HMXXNBXCSY,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2023,5,2023-05,Larga 31+,2023-04-25,10.0,False,False,False,False,13.44,416.64,-9.860000000000014,Temporada baja,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2023-05-19,2023-05-26,2023-05-19,13.71,96.0,106.0,USD,Airbnb,Booked,7,0,HMHW5ZXZQA,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2023,5,2023-05,Media 4-7,2023-05-05,14.0,True,True,False,True,19.58571428571429,137.10000000000002,31.100000000000023,Temporada baja,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2023-06-28,2023-07-05,2023-06-19,60.43,423.0,433.0,USD,Airbnb,Booked,7,9,HMWWRPRT3X,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2023,6,2023-06,Media 4-7,2023-05-19,31.0,True,True,True,True,86.32857142857144,604.3000000000001,171.30000000000007,Vacaciones Jun-Jul,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2023-07-09,2023-08-09,2023-07-03,14.77,458.0,468.0,USD,Airbnb,Booked,31,6,HMKHT9KQ84,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2023,7,2023-07,Larga 31+,2023-06-19,14.0,True,False,False,True,21.1,654.1,186.10000000000002,Vacaciones Jun-Jul,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2023-07-05,2023-07-07,2023-07-04,20.5,41.0,41.0,USD,Airbnb,Booked,2,1,HMEPM5DFN3,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2023,7,2023-07,Corta 1-3,2023-07-03,1.0,True,True,False,True,29.28571428571429,58.57142857142858,17.571428571428577,Vacaciones Jun-Jul,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2023-08-13,2023-09-10,2023-07-18,13.96,391.0,401.0,USD,Airbnb,Booked,28,26,HMXWXPQA9D,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2023,8,2023-08,Mensual 15-30,2023-07-04,14.0,False,False,False,False,13.96,390.88,-10.120000000000005,Temporada baja,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2023-09-13,2023-10-27,2023-08-29,13.42,590.5,680.2,USD,Airbnb,Booked,44,15,HM43KDPAB5,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2023,9,2023-09,Larga 31+,2023-07-18,42.0,True,False,True,True,19.17142857142857,843.5428571428571,163.34285714285704,Temporada baja,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2023-10-27,2023-11-27,2023-09-13,18.66,578.5,588.5,USD,Airbnb,Booked,31,44,HMKTNQMKYH,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2023,10,2023-10,Larga 31+,2023-08-29,15.0,False,False,False,False,18.66,578.46,-10.039999999999964,Temporada baja,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2023-12-25,2024-01-04,2023-12-21,23.63,236.3,246.3,USD,Airbnb,Booked,10,4,HMYM2PXZ99,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2023,12,2023-12,Quincenal 8-14,2023-09-13,99.0,True,False,True,True,33.75714285714286,337.5714285714286,91.2714285714286,Navidad/Año Nuevo,Media (8-14n)
Casa VIP Medellín 2 - Private Room,2024-01-06,2024-01-16,2024-01-03,23.04,230.35,240.35,USD,Airbnb,Booked,10,3,HMM2FE3QWE,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,1,2024-01,Quincenal 8-14,2023-12-21,13.0,True,False,False,True,32.91428571428572,329.14285714285717,88.79285714285717,Navidad/Año Nuevo,Media (8-14n)
Casa VIP Medellín 2 - Private Room,2024-01-30,2024-02-29,2024-01-16,16.23,487.0,497.0,USD,Airbnb,Booked,30,14,HMWNWDHTKK,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,1,2024-01,Mensual 15-30,2024-01-03,13.0,True,False,False,True,23.185714285714287,695.5714285714286,198.57142857142856,Navidad/Año Nuevo,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2024-03-10,2024-04-07,2024-03-08,13.57,380.0,390.0,USD,Airbnb,Booked,28,2,HMEXRHMKY8,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,3,2024-03,Mensual 15-30,2024-01-16,52.0,True,False,True,True,19.385714285714286,542.8,152.79999999999995,Semana Santa,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2024-04-08,2024-05-09,2024-03-28,13.23,410.0,420.0,USD,Airbnb,Booked,31,11,HMQEQCKWY4,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,4,2024-04,Larga 31+,2024-03-08,20.0,True,False,False,True,18.900000000000002,585.9000000000001,165.9000000000001,Semana Santa,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2024-05-12,2024-06-13,2024-05-08,12.08,386.5,396.5,USD,Airbnb,Booked,32,4,HMP2QMS8EA,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,5,2024-05,Larga 31+,2024-03-28,41.0,True,False,True,True,17.25714285714286,552.2285714285715,155.7285714285715,Temporada baja,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2024-06-16,2024-07-16,2024-05-30,14.83,445.0,455.0,USD,Airbnb,Booked,30,17,HMQQAJT54Y,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,6,2024-06,Mensual 15-30,2024-05-08,22.0,False,False,False,False,14.83,444.9,-10.100000000000023,Vacaciones Jun-Jul,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2024-07-18,2024-08-15,2024-07-15,12.04,337.0,347.0,USD,Airbnb,Booked,28,3,HMERQAPB9H,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,7,2024-07,Mensual 15-30,2024-05-30,46.0,True,False,True,True,17.2,481.59999999999997,134.59999999999997,Vacaciones Jun-Jul,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2024-08-15,2024-08-23,2024-08-10,21.99,175.95,185.95,USD,Airbnb,Booked,8,5,HMT9XMRYJ9,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,8,2024-08,Quincenal 8-14,2024-07-15,26.0,True,True,False,True,31.414285714285715,251.31428571428572,65.36428571428573,Temporada baja,Media (8-14n)
