Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status,Length of Stay (Days),Booking Window (Days),Reservation ID,Listing ID,Unit ID,PMS,Property Name,BR Count,Group,Sub-Group,Tags,City,Sync Price
OASIS PH - Hot Tub | 2 Terraces,11 ene 2025,08 feb 2025,13 dic 2024,$ 89.02,"$ 2,492.50","$ 2,542.50",USD,Airbnb,Booked,28,29,HMM2PF4JW5,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 3 - Private Room,27 nov 2024,08 dic 2024,25 nov 2024,$ 31.45,$ 346.00,$ 346.00,USD,Airbnb,Booked,11,2,HMBAD48YQ9,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,01 dic 2024,12 dic 2024,25 nov 2024,$ 69.63,$ 765.90,$ 790.90,USD,Airbnb,Booked,11,6,HMBB3AYFQ3,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 5 - Private Room + Bathroom,24 nov 2024,17 dic 2024,21 nov 2024,$ 24.17,$ 556.00,$ 566.00,USD,Airbnb,Booked,23,3,HMFEY3AADJ,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,05 dic 2024,15 dic 2024,20 nov 2024,$ 32.13,$ 321.30,$ 331.30,USD,Airbnb,Booked,10,15,HMSXHPB5YB,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,04 dic 2024,09 ene 2025,17 nov 2024,$ 95.26,"$ 3,429.50","$ 3,479.50",USD,Airbnb,Booked,36,17,HMKH2Y2STA,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,16 nov 2024,30 nov 2024,09 nov 2024,$ 103.98,"$ 1,455.75","$ 1,505.75",USD,Airbnb,Booked,14,7,HMNYHB9CXY,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 2 - Private Room,25 oct 2024,25 nov 2024,21 oct 2024,$ 13.55,$ 420.00,$ 430.00,USD,Airbnb,Booked,31,4,HMXEYWJY99,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,22 oct 2024,23 nov 2024,20 oct 2024,$ 37.52,"$ 1,200.60","$ 1,225.60",USD,Airbnb,Booked,32,2,HMNARJ2EAF,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 4 - Private Room,13 oct 2024,31 ene 2025,13 oct 2024,$ 12.38,"$ 1,361.50","$ 1,371.50",USD,Airbnb,Booked,110,0,HM2AX8PZ8J,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,09 oct 2024,16 oct 2024,09 oct 2024,$ 17.36,$ 121.55,$ 131.55,USD,Airbnb,Booked,7,0,HMD52DCQK5,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,08 oct 2024,17 oct 2024,06 oct 2024,$ 18.42,$ 165.75,$ 175.75,USD,Airbnb,Booked,9,2,HM3X2PN93M,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,23 sep 2024,05 nov 2024,19 sep 2024,$ 12.91,$ 555.00,$ 565.00,USD,Airbnb,Booked,43,4,HMT8E4KQCZ,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,24 sep 2024,09 oct 2024,14 sep 2024,$ 101.95,"$ 1,529.25","$ 1,579.25",USD,Airbnb,Booked,15,10,HME23JQ3AE,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,25 sep 2024,19 oct 2024,10 sep 2024,$ 45.91,"$ 1,101.80","$ 1,126.80",USD,Airbnb,Booked,24,15,HMZDARP9AK,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 1 - Private Room + Bathroom,08 sep 2024,26 sep 2024,01 sep 2024,$ 16.99,$ 305.90,$ 315.90,USD,Airbnb,Booked,18,7,HM2X4ASF4A,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 1 - Private Room + Bathroom,24 sep 2024,10 dic 2024,30 ago 2024,$ 14.91,"$ 1,148.00","$ 1,158.00",USD,Airbnb,Booked,77,25,HMYEMXKNBC,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,11 oct 2024,09 nov 2024,25 ago 2024,$ 81.79,"$ 2,372.00","$ 2,422.00",USD,Airbnb,Booked,29,47,HM4MHY95NC,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 6 - Private Room + Bathroom,24 ago 2024,20 dic 2024,21 ago 2024,$ 12.27,"$ 1,448.01","$ 1,458.01",USD,Airbnb,Booked,118,3,HMT9T9KFXF,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,16 ago 2024,23 ago 2024,15 ago 2024,$ 18.09,$ 126.65,$ 136.65,USD,Airbnb,Booked,7,1,HMB52X8XCE,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,21 ago 2024,10 oct 2024,13 ago 2024,$ 13.53,$ 676.50,$ 686.50,USD,Airbnb,Booked,50,8,HM3WMFA9K9,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,15 ago 2024,23 ago 2024,10 ago 2024,$ 21.99,$ 175.95,$ 185.95,USD,Airbnb,Booked,8,5,HMT9XMRYJ9,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,24 ago 2024,22 sep 2024,10 ago 2024,$ 13.71,$ 397.50,$ 407.50,USD,Airbnb,Booked,29,14,HMRHNEC3R8,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,02 ago 2024,15 ago 2024,31 jul 2024,$ 18.37,$ 238.85,$ 248.85,USD,Airbnb,Booked,13,2,HM3TNPYH9H,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,03 ago 2024,05 ago 2024,28 jul 2024,$ 148.50,$ 297.00,$ 347.00,USD,Airbnb,Booked,2,6,HMHFFNRBK9,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 1 - Private Room + Bathroom,01 ago 2024,03 sep 2024,24 jul 2024,$ 13.82,$ 456.00,$ 466.00,USD,Airbnb,Booked,33,8,HMXKDSP2WK,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 1 - Private Room + Bathroom,23 jul 2024,31 jul 2024,23 jul 2024,$ 16.26,$ 130.05,$ 140.05,USD,Airbnb,Booked,8,0,HMJTZQ8KD3,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,20 jul 2024,06 sep 2024,20 jul 2024,$ 11.83,$ 568.00,$ 578.00,USD,Airbnb,Booked,48,0,HMWYR28EHD,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,21 jul 2024,29 jul 2024,20 jul 2024,$ 104.63,$ 837.00,$ 887.00,USD,Airbnb,Booked,8,1,HM3BNJWF5E,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 4 - Private Room,18 jul 2024,15 ago 2024,18 jul 2024,$ 13.63,$ 381.50,$ 391.50,USD,Airbnb,Booked,28,0,HMC94SZM98,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,28 jul 2024,07 ago 2024,17 jul 2024,$ 22.87,$ 228.65,$ 238.65,USD,Airbnb,Booked,10,11,HMJBQAWKZY,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,19 jul 2024,26 jul 2024,16 jul 2024,$ 17.00,$ 119.00,$ 129.00,USD,Airbnb,Booked,7,3,HMF5T83FZN,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,18 jul 2024,15 ago 2024,15 jul 2024,$ 12.04,$ 337.00,$ 347.00,USD,Airbnb,Booked,28,3,HMERQAPB9H,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,14 jul 2024,01 ago 2024,11 jul 2024,$ 15.71,$ 282.80,$ 292.80,USD,Airbnb,Booked,18,3,HM4N5REK8Y,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,23 jul 2024,19 ago 2024,10 jul 2024,$ 52.03,"$ 1,404.90","$ 1,429.90",USD,Airbnb,Booked,27,13,HMW8399KA3,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS 201 - Balcony | Tub | 500M,06 jul 2024,15 jul 2024,28 jun 2024,$ 65.30,$ 587.70,$ 612.70,USD,Airbnb,Booked,9,8,HMBA93KE94,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 6 - Private Room + Bathroom,13 jun 2024,27 jun 2024,12 jun 2024,$ 16.25,$ 227.50,$ 237.50,USD,Airbnb,Booked,14,1,HM953NCHTA,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,05 jun 2024,30 jun 2024,02 jun 2024,$ 14.59,$ 364.80,$ 374.80,USD,Airbnb,Booked,25,3,HMAZXJCM8M,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,16 jun 2024,16 jul 2024,30 may 2024,$ 14.83,$ 445.00,$ 455.00,USD,Airbnb,Booked,30,17,HMQQAJT54Y,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,30 may 2024,01 jul 2024,26 may 2024,$ 41.81,"$ 1,338.00","$ 1,363.00",USD,Airbnb,Booked,32,4,HM9TX9KWCX,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 1 - Private Room + Bathroom,26 may 2024,27 jun 2024,21 may 2024,$ 12.66,$ 405.00,$ 415.00,USD,Airbnb,Booked,32,5,HMMYCRAZ2J,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,20 may 2024,27 may 2024,13 may 2024,$ 101.44,$ 710.10,$ 760.10,USD,Airbnb,Booked,7,7,HMS5CEJW8S,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 2 - Private Room,12 may 2024,13 jun 2024,08 may 2024,$ 12.08,$ 386.50,$ 396.50,USD,Airbnb,Booked,32,4,HMP2QMS8EA,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,10 may 2024,11 jun 2024,06 may 2024,$ 12.55,$ 401.50,$ 411.50,USD,Airbnb,Booked,32,4,HMB42AM3FN,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,04 may 2024,04 jun 2024,30 abr 2024,$ 11.95,$ 370.50,$ 380.50,USD,Airbnb,Booked,31,4,HMMB4ZHYE3,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,02 may 2024,15 jul 2024,27 abr 2024,$ 13.37,$ 989.50,$ 999.50,USD,Airbnb,Booked,74,5,HMDCBK2YT8,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,01 may 2024,30 may 2024,25 abr 2024,$ 12.69,$ 368.00,$ 378.00,USD,Airbnb,Booked,29,6,HMWZP3HKDT,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,07 may 2024,28 may 2024,09 abr 2024,$ 49.90,"$ 1,047.90","$ 1,072.90",USD,Airbnb,Booked,21,28,HMZNHNYFCB,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 5 - Private Room + Bathroom,17 abr 2024,30 abr 2024,08 abr 2024,$ 20.86,$ 271.15,$ 281.15,USD,Airbnb,Booked,13,9,HMTN983JST,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,31 may 2024,18 jul 2024,31 mar 2024,$ 85.22,"$ 4,090.50","$ 4,140.50",USD,Airbnb,Booked,48,61,HMA53522FM,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 4 - Private Room,11 abr 2024,30 abr 2024,31 mar 2024,$ 18.05,$ 343.00,$ 353.00,USD,Airbnb,Booked,19,11,HMHARSPARX,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,08 abr 2024,09 may 2024,28 mar 2024,$ 13.23,$ 410.00,$ 420.00,USD,Airbnb,Booked,31,11,HMQEQCKWY4,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,31 mar 2024,21 abr 2024,21 mar 2024,$ 15.43,$ 324.00,$ 334.00,USD,Airbnb,Booked,21,10,HMY3HBNS8A,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,17 ago 2024,18 sep 2024,16 mar 2024,$ 91.70,"$ 2,934.50","$ 2,984.50",USD,Airbnb,Booked,32,154,HMCZTRM9RJ,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 1 - Private Room + Bathroom,16 mar 2024,16 may 2024,14 mar 2024,$ 11.51,$ 702.00,$ 712.00,USD,Airbnb,Booked,61,2,HMC3TJJH55,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,14 mar 2024,11 abr 2024,12 mar 2024,$ 11.07,$ 310.00,$ 320.00,USD,Airbnb,Booked,28,2,HM5WX3QPXD,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,10 mar 2024,07 abr 2024,08 mar 2024,$ 13.57,$ 380.00,$ 390.00,USD,Airbnb,Booked,28,2,HMEXRHMKY8,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,05 mar 2024,13 mar 2024,01 mar 2024,$ 18.06,$ 144.50,$ 154.50,USD,Airbnb,Booked,8,4,HMNNQXEWCY,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,16 mar 2024,20 abr 2024,01 mar 2024,$ 41.81,"$ 1,463.40","$ 1,488.40",USD,Airbnb,Booked,35,15,HM5TXFE58B,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,01 mar 2024,17 mar 2024,12 feb 2024,$ 112.17,"$ 1,794.75","$ 1,844.75",USD,Airbnb,Booked,16,18,HMZ4SHQBF4,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 3 - Private Room,19 feb 2024,19 mar 2024,01 feb 2024,$ 13.76,$ 399.00,$ 409.00,USD,Airbnb,Booked,29,18,HMWAT4QPXY,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,03 mar 2024,02 abr 2024,30 ene 2024,$ 16.30,$ 489.00,$ 499.00,USD,Airbnb,Booked,30,33,HMTSCXJS3Q,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,30 ene 2024,29 feb 2024,16 ene 2024,$ 16.23,$ 487.00,$ 497.00,USD,Airbnb,Booked,30,14,HMWNWDHTKK,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,30 mar 2024,12 may 2024,13 ene 2024,$ 76.06,"$ 3,270.50","$ 3,320.50",USD,Airbnb,Booked,43,77,HMYA8QNQZQ,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 4 - Private Room,31 ene 2024,10 abr 2024,10 ene 2024,$ 14.44,"$ 1,010.50","$ 1,020.50",USD,Airbnb,Booked,70,21,HMCBXNB9AD,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,11 ene 2024,30 ene 2024,06 ene 2024,$ 19.08,$ 362.60,$ 372.60,USD,Airbnb,Booked,19,5,HMA24JE2XE,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,10 ene 2024,06 feb 2024,04 ene 2024,$ 16.62,$ 448.80,$ 458.80,USD,Airbnb,Booked,27,6,HMJDDPBYSP,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,06 ene 2024,16 ene 2024,03 ene 2024,$ 23.04,$ 230.35,$ 240.35,USD,Airbnb,Booked,10,3,HMM2FE3QWE,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,31 dic 2023,09 ene 2024,28 dic 2023,$ 18.61,$ 167.45,$ 177.45,USD,Airbnb,Booked,9,3,HMEF4NEB3K,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,25 dic 2023,04 ene 2024,21 dic 2023,$ 23.63,$ 236.30,$ 246.30,USD,Airbnb,Booked,10,4,HMYM2PXZ99,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,20 dic 2023,31 dic 2023,11 dic 2023,$ 28.59,$ 314.50,$ 324.50,USD,Airbnb,Booked,11,9,HMETK3MKCD,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,08 ene 2024,22 feb 2024,05 dic 2023,$ 77.11,"$ 3,470.00","$ 3,470.00",USD,Airbnb,Booked,45,34,HM94CPWZ52,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
OASIS PH - Hot Tub | 2 Terraces,05 dic 2023,22 dic 2023,01 dic 2023,$ 107.34,"$ 1,824.75","$ 1,874.75",USD,Airbnb,Booked,17,4,HMNEMBX2E9,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 4 - Private Room,02 dic 2023,16 dic 2023,16 nov 2023,$ 22.90,$ 320.60,$ 330.60,USD,Airbnb,Booked,14,16,HM5AYE4S5E,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,16 dic 2023,16 ene 2024,15 nov 2023,$ 18.26,$ 566.00,$ 576.00,USD,Airbnb,Booked,31,31,HMPZT2BBWA,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,17 nov 2023,01 dic 2023,14 nov 2023,$ 108.29,"$ 1,516.00","$ 1,566.00",USD,Airbnb,Booked,14,3,HM3HMY9ZMR,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 6 - Private Room + Bathroom,20 nov 2023,20 dic 2023,04 nov 2023,$ 16.55,$ 496.50,$ 506.50,USD,Airbnb,Booked,30,16,HMBWK92AQS,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,16 oct 2023,20 oct 2023,12 oct 2023,$ 22.25,$ 89.00,$ 99.00,USD,Airbnb,Booked,4,4,HMB2MZTP4C,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,26 sep 2023,03 oct 2023,25 sep 2023,$ 17.43,$ 122.00,$ 132.00,USD,Airbnb,Booked,7,1,HMJYW5HWW4,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,01 oct 2023,11 nov 2023,25 sep 2023,$ 46.65,"$ 1,912.80","$ 1,937.80",USD,Airbnb,Booked,41,6,HM8C8KH4WZ,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
