Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status,Length of Stay (Days),Booking Window (Days),Reservation ID,Listing ID,Unit ID,PMS,Property Name,BR Count,Group,Sub-Group,Tags,City,Sync Price
Casa VIP Medellín 4 - Private Room,22 abr 2025,06 may 2025,19 abr 2025,$ 16.45,$ 230.30,$ 240.30,USD,Airbnb,Booked,14,3,HM3K4RDSDN,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,21 abr 2025,05 may 2025,18 abr 2025,$ 16.25,$ 227.50,$ 237.50,USD,Airbnb,Booked,14,3,HMR5MFBEZE,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,18 abr 2025,22 abr 2025,16 abr 2025,$ 19.00,$ 76.00,$ 86.00,USD,Airbnb,Booked,4,2,HMN4K8XSH9,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,17 abr 2025,21 abr 2025,16 abr 2025,$ 19.75,$ 79.00,$ 89.00,USD,Airbnb,Booked,4,1,HMAABAWZAA,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,15 abr 2025,29 abr 2025,15 abr 2025,$ 15.70,$ 219.80,$ 229.80,USD,Airbnb,Booked,14,0,HMBNTERQ4P,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 1 - Private Room + Bathroom,21 abr 2025,19 may 2025,15 abr 2025,$ 15.75,$ 441.00,$ 451.00,USD,Airbnb,Booked,28,6,HM35YYYNE8,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,14 abr 2025,19 abr 2025,13 abr 2025,$ 20.20,$ 101.00,$ 111.00,USD,Airbnb,Booked,5,1,HMEEQNAS9T,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 1 - Private Room + Bathroom,13 abr 2025,20 abr 2025,13 abr 2025,$ 19.55,$ 136.85,$ 146.85,USD,Airbnb,Booked,7,0,HM9DB4YNP4,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,11 abr 2025,18 abr 2025,11 abr 2025,$ 19.67,$ 137.70,$ 147.70,USD,Airbnb,Booked,7,0,HMK3NDHP8A,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,11 abr 2025,11 jun 2025,11 abr 2025,$ 13.14,$ 801.50,$ 811.50,USD,Airbnb,Booked,61,0,HM4PTAKZKR,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
